What is your profession ?,How many years you are associated with software development for?,"Have you ever used any third party API in your software development projects? e.g. Google Map API, Twitter Ads API etc.",Please name some of the API's providers you've worked with. [Google Maps API],Please name some of the API's providers you've worked with. [Twitter API],Please name some of the API's providers you've worked with. [WinApi],Please name some of the API's providers you've worked with. [Facebook Graph API],"Please rate your experience of Google Maps APIs. 1 stand for very good experience, 5 stands for worst experience. [Very simple to use]","Please rate your experience of Google Maps APIs. 1 stand for very good experience, 5 stands for worst experience. [Good documentation]","Please rate your experience of Google Maps APIs. 1 stand for very good experience, 5 stands for worst experience. [Quality of APIs are good]","Please rate your experience of Google Maps APIs. 1 stand for very good experience, 5 stands for worst experience. [Return meaningful response]","Please rate your experience of Google Maps APIs. 1 stand for very good experience, 5 stands for worst experience. [Free and unlimited access]","Please rate your experience of Google Maps APIs. 1 stand for very good experience, 5 stands for worst experience. [Compatible to the previous version]","Please rate your experience of Google Maps APIs. 1 stand for very good experience, 5 stands for worst experience. [Highly secured]","Please rate your experience of Google Maps APIs. 1 stand for very good experience, 5 stands for worst experience. [Please rate your overall satisfaction]","Please rate your experience of Twitter APIs. 1 stand for very good experience, 5 stands for worst experience. [Very simple to use]","Please rate your experience of Twitter APIs. 1 stand for very good experience, 5 stands for worst experience. [Good documentation]","Please rate your experience of Twitter APIs. 1 stand for very good experience, 5 stands for worst experience. [Quality of APIs are good]","Please rate your experience of Twitter APIs. 1 stand for very good experience, 5 stands for worst experience. [Return meaningful response]","Please rate your experience of Twitter APIs. 1 stand for very good experience, 5 stands for worst experience. [Free and unlimited access]","Please rate your experience of Twitter APIs. 1 stand for very good experience, 5 stands for worst experience. [Compatible to the previous version]","Please rate your experience of Twitter APIs. 1 stand for very good experience, 5 stands for worst experience. [Highly secured]","Please rate your experience of Twitter APIs. 1 stand for very good experience, 5 stands for worst experience. [Please rate your overall satisfaction]","Please rate your experience of WinAPI APIs. 1 stand for very good experience, 5 stands for worst experience. [Very simple to use]","Please rate your experience of WinAPI APIs. 1 stand for very good experience, 5 stands for worst experience. [Good documentation]","Please rate your experience of WinAPI APIs. 1 stand for very good experience, 5 stands for worst experience. [Quality of APIs are good]","Please rate your experience of WinAPI APIs. 1 stand for very good experience, 5 stands for worst experience. [Return meaningful response]","Please rate your experience of WinAPI APIs. 1 stand for very good experience, 5 stands for worst experience. [Free and unlimited access]","Please rate your experience of WinAPI APIs. 1 stand for very good experience, 5 stands for worst experience. [Compatible to the previous version]","Please rate your experience of WinAPI APIs. 1 stand for very good experience, 5 stands for worst experience. [Highly secured]","Please rate your experience of WinAPI APIs. 1 stand for very good experience, 5 stands for worst experience. [Please rate your overall satisfaction]","Please rate your experience of Facebook Graph APIs. 1 stand for very good experience, 5 stands for worst experience. [Very simple to use]","Please rate your experience of Facebook Graph APIs. 1 stand for very good experience, 5 stands for worst experience. [Good documentation]","Please rate your experience of Facebook Graph APIs. 1 stand for very good experience, 5 stands for worst experience. [Quality of APIs are good]","Please rate your experience of Facebook Graph APIs. 1 stand for very good experience, 5 stands for worst experience. [Return meaningful response]","Please rate your experience of Facebook Graph APIs. 1 stand for very good experience, 5 stands for worst experience. [Free and unlimited access]","Please rate your experience of Facebook Graph APIs. 1 stand for very good experience, 5 stands for worst experience. [Compatible to the previous version]","Please rate your experience of Facebook Graph APIs. 1 stand for very good experience, 5 stands for worst experience. [Highly secured]","Please rate your experience of Facebook Graph APIs. 1 stand for very good experience, 5 stands for worst experience. [Please rate your overall satisfaction]"
Software developer,1,Yes,Yes,No,No,No,5,5,3,5,2,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,
Student,5,Yes,Yes,Yes,No,No,1,3,2,2,2,1,1,2,2,3,3,2,4,1,1,3,,,,,,,,,,,,,,,,
Student,2,Yes,Yes,Yes,No,Yes,3,4,3,3,1,3,3,4,2,2,2,4,3,3,3,3,,,,,,,,,2,2,2,2,2,3,3,2
,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student,4,Yes,Yes,No,No,No,2,2,2,2,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,
Student,3,Yes,Yes,No,No,No,3,3,2,1,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,
,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student,4,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student,4,Yes,Yes,No,No,No,3,4,4,5,4,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,
Student,1,Yes,Yes,Yes,No,No,2,2,2,2,2,3,4,3,1,3,3,2,3,3,3,2,,,,,,,,,,,,,,,,
Student - Data scientist,5,Yes,Yes,No,Yes,No,4,5,4,4,4,4,4,4,,,,,,,,,3,3,3,4,3,2,3,3,,,,,,,,
IT professional,4,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student,4,Yes,Yes,No,No,No,2,3,2,2,5,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,
,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
student,5,Yes,Yes,No,No,No,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,
Software Professional ,1,Yes,Yes,No,No,No,2,3,2,3,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,
Software engineer,5,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Developer,5,Yes,Yes,No,No,No,5,4,4,4,4,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,
Data Engineer,1,Yes,Yes,Yes,No,No,1,2,1,1,2,1,1,1,2,1,3,2,3,2,2,2,,,,,,,,,,,,,,,,
Working Student Software Developer,2,Yes,No,Yes,No,Yes,,,,,,,,,1,1,3,2,3,4,1,2,,,,,,,,,1,1,2,2,2,2,1,2
Azure Cloud Architect,7,Yes,Yes,Yes,No,Yes,1,1,2,2,3,2,1,2,2,2,2,1,2,2,2,2,,,,,,,,,1,1,2,1,2,2,1,1
UI/UX Designer,1,Yes,Yes,No,No,No,1,2,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,
,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW eng,6,Yes,Yes,Yes,No,Yes,2,4,4,5,1,2,3,2,3,3,1,3,5,5,3,3,,,,,,,,,3,3,3,3,3,3,3,3
,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student,1,Yes,Yes,No,No,No,4,3,4,4,4,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,
,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Developer,3,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Engineer,8,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software Development Engineer,5,Yes,Yes,Yes,No,No,1,1,2,2,4,3,1,3,1,1,1,1,1,2,3,1,,,,,,,,,,,,,,,,
,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operations,0,No,Yes,No,No,No,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software developer,1,Yes,Yes,No,No,No,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Student,4,Yes,Yes,No,No,No,2,1,2,2,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,
Student ,4,Yes,Yes,No,No,No,2,2,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,
